Year,Round,EventName,Circuit,Session,Driver,Team,Compound,TyreLife,CleanLaps,BestLapTime,AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
2026,1,Australian Grand Prix,Melbourne,FP1,ALB,Williams,SOFT,2.0,19,83.13,21.2,35.2,69.5,1.6,False
2026,1,Australian Grand Prix,Melbourne,FP1,ANT,Mercedes,SOFT,3.0,11,81.376,20.9,36.4,71.1,0.8,False
2026,1,Australian Grand Prix,Melbourne,FP1,BEA,Haas F1 Team,SOFT,2.0,16,82.682,21.3,36.9,69.3,2.2,False
2026,1,Australian Grand Prix,Melbourne,FP1,BOR,Audi,SOFT,4.0,12,81.696,21.1,36.7,69.8,1.1,False
2026,1,Australian Grand Prix,Melbourne,FP1,BOT,Cadillac,SOFT,13.0,16,84.022,21.1,36.9,69.6,2.5,False
2026,1,Australian Grand Prix,Melbourne,FP1,COL,Alpine,SOFT,5.0,16,83.325,21.2,35.2,69.5,1.6,False
2026,1,Australian Grand Prix,Melbourne,FP1,GAS,Alpine,SOFT,13.0,17,84.035,21.3,37.2,68.4,1.3,False
2026,1,Australian Grand Prix,Melbourne,FP1,HAD,Red Bull Racing,SOFT,2.0,10,81.087,20.8,35.5,69.1,0.5,False
2026,1,Australian Grand Prix,Melbourne,FP1,HAM,Ferrari,SOFT,7.0,21,80.736,21.1,36.4,71.4,0.3,False
2026,1,Australian Grand Prix,Melbourne,FP1,HUL,Audi,SOFT,4.0,9,81.969,21.2,35.1,68.5,2.4,False
2026,1,Australian Grand Prix,Melbourne,FP1,LAW,Racing Bulls,MEDIUM,12.0,19,82.613,20.6,34.4,72.6,3.1,False
2026,1,Australian Grand Prix,Melbourne,FP1,LEC,Ferrari,SOFT,14.0,23,80.267,21.1,36.9,69.6,2.5,False
2026,1,Australian Grand Prix,Melbourne,FP1,LIN,Racing Bulls,SOFT,,14,81.313,21.2,37.5,69.4,1.0,False
2026,1,Australian Grand Prix,Melbourne,FP1,NOR,McLaren,MEDIUM,6.0,2,84.391,20.7,34.7,71.8,2.7,False
2026,1,Australian Grand Prix,Melbourne,FP1,OCO,Haas F1 Team,SOFT,5.0,16,82.161,21.1,37.6,69.3,1.4,False
