Year,Round,EventName,Circuit,Driver,Team,Compound,BestLapTime,AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
2026,1,Australian Grand Prix,Melbourne,ALB,Williams,SOFT,80.941,20.5,33.6,62.8,2.8,False
2026,1,Australian Grand Prix,Melbourne,ALO,Aston Martin,SOFT,81.969,20.3,34.5,66.4,1.2,False
2026,1,Australian Grand Prix,Melbourne,ANT,Mercedes,SOFT,78.811,20.4,31.6,60.7,2.3,False
2026,1,Australian Grand Prix,Melbourne,BEA,Haas F1 Team,SOFT,80.311,20.4,33.1,63.4,1.6,False
2026,1,Australian Grand Prix,Melbourne,BOR,Audi,SOFT,80.221,20.4,33.2,63.4,2.1,False
2026,1,Australian Grand Prix,Melbourne,BOT,Cadillac,SOFT,83.244,20.3,34.5,66.4,1.2,False
2026,1,Australian Grand Prix,Melbourne,COL,Alpine,SOFT,81.2,20.4,34.5,66.3,2.3,False
2026,1,Australian Grand Prix,Melbourne,GAS,Alpine,SOFT,80.501,20.5,34.1,63.6,2.1,False
2026,1,Australian Grand Prix,Melbourne,HAD,Red Bull Racing,SOFT,79.303,20.4,31.3,60.4,4.3,False
2026,1,Australian Grand Prix,Melbourne,HAM,Ferrari,SOFT,79.478,20.4,31.3,60.4,4.3,False
2026,1,Australian Grand Prix,Melbourne,HUL,Audi,SOFT,80.303,20.5,33.0,63.4,2.1,False
2026,1,Australian Grand Prix,Melbourne,LAW,Racing Bulls,SOFT,79.994,20.4,31.3,60.4,4.3,False
2026,1,Australian Grand Prix,Melbourne,LEC,Ferrari,SOFT,79.327,20.4,31.3,60.4,4.3,False
2026,1,Australian Grand Prix,Melbourne,LIN,Racing Bulls,SOFT,79.971,20.5,33.9,64.1,1.3,False
2026,1,Australian Grand Prix,Melbourne,NOR,McLaren,SOFT,79.475,20.4,31.3,60.4,4.3,False
2026,1,Australian Grand Prix,Melbourne,OCO,Haas F1 Team,SOFT,80.491,20.5,33.9,64.1,1.3,False
2026,1,Australian Grand Prix,Melbourne,PER,Cadillac,SOFT,82.605,20.3,34.5,66.4,1.2,False
2026,1,Australian Grand Prix,Melbourne,PIA,McLaren,SOFT,79.38,20.4,31.6,60.9,1.9,False
2026,1,Australian Grand Prix,Melbourne,RUS,Mercedes,SOFT,78.518,20.4,31.6,60.9,1.9,False
2026,2,Chinese Grand Prix,Shanghai,ALB,Williams,SOFT,94.772,18.0,32.3,34.1,1.9,False
2026,2,Chinese Grand Prix,Shanghai,ALO,Aston Martin,SOFT,95.203,18.0,32.1,33.8,1.1,False
